question_number,bucket,bucket_name,model,notes
1,5,Residential property,gpt-4.1,
2,8,Commercial insurance,gpt-4.1,
3,2,Contract law,gpt-4.1,
4,5,Residential property,gpt-4.1,
5,8,Commercial insurance,gpt-4.1,
6,5,Residential property,gpt-4.1,
7,8,Commercial insurance,gpt-4.1,
8,1,Basic concepts,gpt-4.1,
9,8,Commercial insurance,gpt-4.1,
10,3,CA laws & ethics,gpt-4.1,
11,8,Commercial insurance,gpt-4.1,
12,3,CA laws & ethics,gpt-4.1,
13,1,Basic concepts,gpt-4.1,
14,3,CA laws & ethics,gpt-4.1,
15,6,Valuation & government programs,gpt-4.1,
16,2,Contract law,gpt-4.1,
17,1,Basic concepts,gpt-4.1,
18,2,Contract law,gpt-4.1,
19,2,Contract law,gpt-4.1,
20,5,Residential property,gpt-4.1,
21,5,Residential property,gpt-4.1,
22,8,Commercial insurance,gpt-4.1,
23,8,Commercial insurance,gpt-4.1,
24,7,Personal liability & inland marine,gpt-4.1,
25,3,CA laws & ethics,gpt-4.1,
26,8,Commercial insurance,gpt-4.1,
27,3,CA laws & ethics,gpt-4.1,
28,1,Basic concepts,gpt-4.1,
29,2,Contract law,gpt-4.1,
30,3,CA laws & ethics,gpt-4.1,
31,2,Contract law,gpt-4.1,
32,7,Personal liability & inland marine,gpt-4.1,
33,2,Contract law,gpt-4.1,
34,5,Residential property,gpt-4.1,
35,3,CA laws & ethics,gpt-4.1,
36,2,Contract law,gpt-4.1,
37,3,CA laws & ethics,gpt-4.1,
38,1,Basic concepts,gpt-4.1,
39,1,Basic concepts,gpt-4.1,
40,3,CA laws & ethics,gpt-4.1,
41,8,Commercial insurance,gpt-4.1,
42,1,Basic concepts,gpt-4.1,
43,3,CA laws & ethics,gpt-4.1,
44,2,Contract law,gpt-4.1,
45,3,CA laws & ethics,gpt-4.1,
46,3,CA laws & ethics,gpt-4.1,
47,3,CA laws & ethics,gpt-4.1,
48,2,Contract law,gpt-4.1,
49,3,CA laws & ethics,gpt-4.1,
50,7,Personal liability & inland marine,gpt-4.1,
51,2,Contract law,gpt-4.1,
