question_number,answer,reason
1,B,**OPTION: B** **REASON:** Insurance serves to transfer the financial risks associated with an uncertain event or loss to an insurance company. This allows individuals and businesses to manage their exposure and potentially reduce the financial impact of unforeseen events.
2,B,** A pure risk is an event or situation that has a high probability of occurring but is not influenced by the actions or decisions of the individual. The possibility of a fire damaging a home or the possibility of gambling at a casino are both pure risks.
3,C,The law of large numbers states that the probability of a catastrophic loss occurring decreases as the number of exposures (policyholders) increases. This means that insurers can more accurately price their premiums by focusing on the average risk rather than the individual risk of each policyholder.
4,D,**OPTION: D** **REASON:** A risk must be accidental and uncertain for it to be insurable. The loss must also be measurable and calculable in order to be insurable.
5,A,"**OPTION: A** **REASON:** A hazard is the chance of loss, which is a condition that increases the likelihood or severity of a loss."
6,B,**OPTION: B** **REASON:** Intentionally setting fire to your own property to collect insurance money is an example of a moral hazard because the insured party has the incentive to take unnecessary risks in order to maximize their insurance payout.
7,C,**OPTION: C** **REASON:** Indemnity is a principle of insurance where an insurer pays a fixed amount regardless of the actual loss.
8,D,** Transferring risk to another party involves shifting the risk associated with a potential loss to that party. This method allows the original party to escape the financial burden and potentially reduces their own risk exposure.
9,C,"Insurable interest means the property owner's interest in the property must exist at the time the insurance company issues the policy. Therefore, the interest must exist both at the time of application and at the time of loss."
10,B,**OPTION: B** **REASON:** A peril is a condition that increases the chance of loss. It is a situation or event that could potentially cause a loss to occur.
11,C,"** Risk control is a process that involves identifying, analyzing, and controlling potential risks to reduce their likelihood and impact. Installing a home security system is an example of risk control because it helps to mitigate the risk of burglary by deterring potential criminals and reducing the likelihood of successful break-ins."
12,A,"Utmost good faith means that the insurer must act in good faith and not in a way that would not be fair to the insured. In this case, the insurer is not acting in good faith by not insuring the neighbor's home."
13,A,"**OPTION: A** **REASON:** A homeowner worried about fire damage is a speculative risk because the probability of the risk occurring is not known and depends on various factors such as the homeowner's insurance policy, the age of the home, and the local fire history."
14,B,"A contract of adhesion is a contract in which only the insurer is legally bound to perform its obligations, while the insured is not obligated to continue paying premiums."
15,C,"**OPTION: C** **REASON:** An oily rag can easily catch fire, creating a physical hazard that could cause burns or other injuries."
16,B,"**OPTION: B** **REASON:** An insurance company issues policies based on the principle of spreading risk. By requiring a large number of exposure units, the company can spread the risk of losses across a broader range of risks. This helps to ensure that the policyholders will receive a payout even if some claims are more severe than anticipated."
17,A,**OPTION: A** **REASON:** The principle of utmost good faith requires that both parties act honestly and disclose all relevant facts in an insurance contract.
18,C,"**OPTION: C** **REASON:** Risk transfer is the act of shifting risk from one party to another. In this case, the person is transferring the risk of loss from themselves to the insurance company."
19,A,**OPTION: A** **REASON:** A contract must be in writing for it to be legally valid in insurance.
20,D,"Conditional contract requires the insurer to fulfill the terms of the policy based on the policyholder fulfilling specific conditions. Since the policyholder did not fulfill the conditions for claiming the large claim, the insurer is not obligated to pay the claim."
21,A,**OPTION: A** **REASON:** An adhesion contract is one where the parties' agreement is not based on a pre-existing relationship or mutual interest. Insurance is considered an adhesion contract because the insurer and insured have no pre-existing relationship and the insurer does not have a duty to provide insurance coverage based on the insured's creditworthiness.
22,C,"** Risk reduction is the process of identifying, analyzing, and controlling potential risks to minimize their impact. Installing a sprinkler system is an example of risk reduction because it reduces the risk of fire damage to the business."
23,C,**OPTION: C** **REASON:** Leaving a car unlocked because it is insured demonstrates a morale hazard because it could lead to the driver intentionally driving off and causing an accident.
24,A,"**OPTION: A** **REASON:** Accidental and unexpected losses are essential for insurers to accurately assess the risk associated with insuring a property. If a loss is deemed intentional or foreseeable, the insurer may deny coverage, even if the property damage is significant."
25,A,"**OPTION: A** **REASON:** Indemnity is a principle of insurance that requires the insurer to restore the insured to their financial position before the loss occurred, minus the amount of the loss."
26,A,"**OPTION: A** **REASON:** A valid insurance contract requires competent parties, but it does not require legal purpose or negotiated policy wording."
27,A,"**OPTION: A** **REASON:** Purchasing an insurance policy shifts the risk from the insurer to the insured. The insured pays a premium to the insurer, in exchange for which the insurer agrees to cover losses up to a specified amount."
28,A,"**OPTION: A** **REASON:** A large number of similar exposure units for a risk to be insurable means that the insurer will have a high number of potential claimants with similar losses. This makes it more difficult for the insurer to pool risks and set a reasonable premium, as the insurer will not be able to accurately estimate the potential losses."
29,A,"** Insurable interest is the right to sue for recovery of a loss caused by another person's negligence. In this case, the person insuring their own home has a right to sue the homeowner if the home is damaged by a fire."
30,B,"A contract of utmost good faith is a contract in which only the insurer is legally obligated to fulfill its promises, while the insured is not required to continue paying premiums."
31,C,"**OPTION: C** **REASON:** A morale hazard is an act or omission that increases the risk of a loss and is intended to obtain insurance coverage. In this case, the business owner intentionally sets fire to their property, indicating a deliberate attempt to claim insurance money."
32,A,"**OPTION: A** **REASON:** A peril is the cause of loss, while a hazard increases the chance of loss."
33,A,"A homeowner chooses a high deductible on their insurance policy, indicating a conscious decision to retain risk rather than transferring it to an insurer."
34,A,**OPTION: A** **REASON:** A risk must be accidental and measurable for it to be insurable.
