question_number,answer,reason
1,B,"The primary purpose of insurance is to transfer the financial consequences of certain risks to an insurer, thus spreading the risk among a larger pool and reducing the impact on individuals or businesses in case of a loss event."
2,C,"Pure risks are unpredictable events that cause financial loss, but do not generate any gain. In this case, the possibility of your home being damaged by fire is an example of a pure risk because it can result in a financial loss (the cost to repair or replace the damaged property), but does not offer any potential for profit. On the other hand, starting a new business venture (B) and gambling at a casino ("
3,C,"The law of large numbers in insurance helps prevent catastrophic losses from occurring by allowing insurers to better estimate and manage risk based on the statistical analysis of a large number of similar policyholders or claims. This enables them to set premiums more accurately, which can help mitigate the impact of rare but costly events."
4,D,"Contrary to the other options, there is no requirement that the risk involves a large number of similar exposure units for it to be insurable. While it's true that having many similar exposures can make it easier to calculate risks and set premiums, it is not an absolute prerequisite for insurability."
5,C,"A hazard is a condition that increases the likelihood or severity of a loss, such as earthquakes, floods, or fires, in the context of insurance. The other options do not accurately define what a hazard is."
6,B,"Moral hazard refers to the change in behavior by an individual or entity when they are protected against potential losses, leading them to take unnecessary risks. In this case, intentionally setting fire to one's own property to collect insurance money is a clear example of moral hazard because it demonstrates that the insured is taking advantage of their coverage and creating a loss where none would have otherwise occurred."
7,B,"The principle of indemnity states that an insurer should compensate the policyholder for the actual loss, not more or less. Therefore, options A and C contradict this principle, while option D suggests profiting from a claim, which is not the purpose of insurance. Option B correctly illustrates the principle by stating that the insured is restored to approximately the same financial position as before the loss."
8,C,"Shifting the risk to another party is a characteristic of transfer, which includes methods such as reinsurance and insurance contracts. The other options do not involve transferring the risk to another party."
9,C,"Insurable interest in property insurance must exist both at the time of application (when the policy is purchased) and at the time of loss, to ensure that the insured has a financial stake in the protected property and will suffer a direct financial loss if the property is damaged or destroyed."
10,C,"In insurance terminology, a peril refers to the cause of a loss, such as fire or theft. It is the specific event that results in damage or harm for which coverage may be provided under an insurance policy."
11,C,"The individual takes active measures to reduce the likelihood of a loss (burglary) by installing a home security system, which is an example of risk control in insurance terms."
12,A,"The person purchasing insurance for their own home demonstrates an insurable interest, as they have a financial stake in the property and want to protect it from potential losses. On the other hand, they do not have an insurable interest in their neighbor's property, which is why they do not purchase insurance for it."
13,B,"An investor buying stocks hoping for a profit is engaging in speculative risk, as the outcome depends on market fluctuations and unpredictable factors such as company performance or economic conditions, rather than a known probability of loss or damage like fire (A), accident (C), or theft (D)."
14,C,"A unilateral contract is a type of agreement where only one party (in this case, the insurer) makes a promise to perform an action in exchange for the other party's (the insured) performance of a specific act or set of acts. In this scenario, the insured is not obligated to continue paying premiums, which fits the description of a unilateral contract."
15,A,"A physical hazard refers to a condition that has the potential to cause harm or damage, such as a fire or explosion. Leaving oily rags near a furnace creates a risk of fire, making it the best demonstration of a physical hazard among the given options."
16,B,"Insurance companies require a large number of similar exposure units when issuing policies to make losses more predictable using statistical analysis. This allows them to better estimate risk and set premiums accordingly, reducing uncertainty in their underwriting process."
17,A,"The principle of utmost good faith in insurance contracts requires both parties (insured and insurer) to act honestly and disclose all relevant facts during the negotiation, issuance, and performance of the contract. This ensures fairness and transparency between the two parties."
18,B,"The person is choosing to bear the risk of potential earthquake damage themselves, rather than transferring it to an insurer or reducing it through mitigation measures. This is an example of risk retention."
19,A,"In California, an insurance contract must be in writing to be legally valid. This is a fundamental requirement that ensures both the insured and the insurer understand their obligations and rights. The other options do not directly address this legal necessity for an insurance contract."
20,D,"The scenario describes a situation where the outcome (claims) is uncertain and depends on an event (filing a claim), which makes it an aleatory contract (contract of chance). However, the condition that no claims were made for years until a large claim was filed after purchasing a policy indicates a conditional aspect in the contract. Therefore, the scenario illustrates a Conditional Contract."
