question_number,answer,reason
1,A,**OPTION: A** **REASON:** The los under a watercraft endorsement is covered if it arises out of the use of the watercraft for business purposes.
2,A,"**OPTION: A** **REASON:** The declaration page provides specific coverage limits for the named insured, which may exclude business-related usage on a company car."
3,A,The personal auto policy will respond to liability claims under the exception for additional coverage for vehicles used in the course and scope of employment.
4,D,**OPTION: D** **REASON:** Reimbursement for medical expenses are considered special damages because they are not directly related to the loss of a tangible asset.
5,A,Excess and surplus lines are excluded when they are excess and surplus lines insurer.
6,A,"An additional coverage provided by HO3 policy is methods of risk management, which helps the insurer to assess and manage the risks associated with the property."
7,B,**OPTION: B** **REASON:** Include employers non ownership liability coverage in employer's commercial auto insurance will ensure that the business is covered if the employee's vehicle is involved in an accident while being used in the course and scope of employment.
8,A,A property is considered vacant when less than 31% of the building space is rented to other or in use by the insured.
9,A,"** Employee training is not an area covered by market regulation. Market regulation focuses on regulating the sale and distribution of goods and services, including protecting consumers from fraudulent or deceptive practices. Employee training is not considered a sale or a service, and is therefore not subject to regulation."
10,A,The insured must make all necessary repairs to protect the property from further damage.
11,A,The materiality of information depends on the influence of the fact on each party in determining their estimates of the disadvantages of the proposed contract.
12,A,"**OPTION: A** **REASON:** An aggregate limit is typically listed on a commercial general liability declarations page as the maximum amount of liability for all covered risks. However, the stem does not specify that, which option is listed as an aggregate limit."
13,D,"**OPTION: D** **REASON:** Direct loss is not a type of insurance loss, while the other options are all."
14,A,"X's compensation should be adjusted to reflect the extent of their responsibility for the accident. Under contributory negligence rules, the injured party may receive a reduced amount of damages if they were partially responsible for the accident."
15,C,**OPTION: C** **REASON:** Co-insurance clauses discourage frequent claims by the insured because they require the insurer to pay the difference between the policy limits and the actual loss incurred.
16,B,**OPTION: B** **REASON:** An underwriter would be employed to aid an insurance broker by evaluating the risk associated with an insurance application and setting the appropriate premium.
17,C,**OPTION: C** **REASON:** A surplus lines broker is a company that specializes in placing excess and surplus lines insurance.
18,A,"Collision coverage would only apply if the home was involved in a collision with an object, which is not mentioned in the context."
19,A,**OPTION: A** **REASON:** Limits found in the policy are not applicable to the exclusion of water damage for the rental car.
20,A,"Policies covers medical malpractice losses, which are excluded in commercial general liability and malpractice losses arising from windstorm damage."
21,B,**OPTION: B** **REASON:** A situation that offers the possibility for a loss or gain would cover the loss of net income a business incurs due to a fire.
22,A,The Mexico coverage endorsement provides liability loss exposure for any accident in Mexico with 25 miles of the border.
23,D,"**OPTION: D** **REASON:** An open peril policy protects against any peril, other than those specifically excluded. Therefore, the answer is D."
24,D,Other-than-collision coverage is a broader form of insurance that includes coverage for other perils not specifically mentioned in the basic form.
25,A,"A contract of insurance that is temporary, only in writing, between the insured and the insurer is most likely to be eligible for CA FAIR plan."
26,A,"The first named insured and the insurer are the only parties who have a legal obligation to provide liability protection against claims for false arrest, libel and slander."
27,C,"**OPTION: C** **REASON:** A captive insurance company is owned by its policyholders, who are also stockholders in the company. The owners share in the profits of the company, and they have a vested interest in ensuring that the company is managed in the best interests of its policyholders."
28,B,"An insurance policy is a contract between an insurer and a policyholder, where the insurer agrees to compensate the policyholder for losses resulting from covered events."
29,A,An insured peril is defined as an event or occurrence that causes loss of business income. The business income coverage form is designed to provide coverage for losses sustained due to an insured peril.
30,B,**OPTION: B** **REASON:** Tort law is designed to determine financial responsibility for damage caused by negligence or recklessness.
31,B,"**OPTION: B** **REASON:** An insurance broker is a person paid to transact insurance on behalf of another person, but not on behalf of the insurer."
32,D,An automobile kept in a commercial parking garage is not insured by a comical coverage.
33,A,A motorcycle is not automatically covered under a personal auto policy because it is not considered a vehicle that is insured under the policy.
34,C,**OPTION: C** **REASON:** An insurance agent's statement that the dividends of an insurance contract are guaranteed each year is allowed under California law if approved by the insurance company.
35,C,** Amittment means to be unable to pay debts as they become due. Insolvency means a company has no assets to pay its debts. Consealment means to be placed into receivership or liquidation.
36,A,Sprinkler leakage is not covered under the commercial building and personal property coverage form cause of loss.
37,A,"**OPTION: A** **REASON:** The additional coverage's property removed peril is defined as any peril that is not specifically excluded in the policy. Under the homeowners policy, all perils are insured against, except for those specifically excluded in the policy."
38,A,**OPTION: A** **REASON:** Workers compensation is not a type of insurance that a licensed fire and casualty broker-agent may transact.
39,A,**OPTION: A** **REASON:** CPCU is a professional designation that ensures coverage for partial losses to structures.
40,B,"** A property loss exposure is a condition or situation for any exposure or financial loss is presented to an individual or family by such cause as injury disability, death or sickness."
41,C,"Max's collision coverage applies on a primary basis, meaning that it applies before his liability coverage. Therefore, his collision coverage will cover the cost of repairing the neighbor's car."
42,C,**OPTION: C** **REASON:** The insured risk and peril are the common policy conditions under the commercial lines program.
43,C,"**OPTION: C** **REASON:** A DP2 has broader coverage than a DP1. A DP2 can insure additional living expenses, while a DP1 is limited to insuring living expenses."
44,D,A supplemental extended reporting period endorsement provides an additional 60 days for the insurance company to investigate and process the claim.
45,D,Products/completed limits are valued on an actual cash value basis. They are tangible assets that have a specific value in the eyes of the buyer.
46,A,"**OPTION: A** **REASON:** A homeowners policy typically provides coverage for the dwelling itself, while a dwelling policy typically provides coverage for the personal property within the dwelling."
47,A,"A car insurance policy is designed to cover damage to a vehicle caused by an insured event. Hail is an event that can cause damage to a vehicle, so it would fall under the scope of the policy."
48,D,"**OPTION: D** **REASON:** D. Financial protection against losses is not a benefit of insurance, but rather a feature of insurance."
49,A,A licensee must deliver the document itself to the commissioner for surrender for cancellation.
50,B,The limited Mexico endorsement applies to trips to Mexico with duration of B. A loss only.
51,C,The insured is liable for a bodily injury to someone in the insured's immediate family.
52,A,"**OPTION: A** **REASON:** A standard coverage form is typically used for property insurance, not for tort law. Tort law is a specialized area of law that deals with liability and damages resulting from negligence."
53,A,"A dwelling policy provides broader coverage than an HO3, including additional risks such as loss of use and liability for injuries on the premises."
54,A,"The loss exposures in the situations are all excluded except A, which is the exception to the exclusion for a patron of the insured business."
55,C,Filing a notice of appointment with the commissioner is not a professional and least likely method to determine business loss exposure. It is not a standard procedure for property and liability insurance companies to request a notice of appointment from the commissioner.
56,D,"Contingent liability is a type of liability that requires a corporation to compensate a victim for losses caused by its negligence, but only if the corporation was negligent in causing the loss."
57,A,"**OPTION: A** **REASON:** An HO3 policy insures against damage to the vehicle itself, not against damage to property belonging to the driver or passengers."
58,A,"The applicant misrepresented that he had not received any traffic tickets or accidents in the past 36 months, but the insurance company discovered that he had received a ticket for speeding 32 months ago."
59,A,"**OPTION: A** **REASON:** A peril is a specific event or occurrence that is excluded from coverage by the policy. The question asks for a type of policy that protects against loss from any peril except those that are specifically excluded. Therefore, the answer is A."
60,A,"**OPTION: A** **REASON:** The loss scenario involves a vehicle being stolen from the insured's driveway, which is not covered under the collision coverage of an insured's PAP."
61,A,** Individuals that are permitted to sell the California FAIR plan company funds and securities that are stolen by an employee must hold a fire & casualty broker-agent license.
62,A,"The question asks about the coverage for necessary medical expenses for the driver's license holder of the vehicle insured by the policy. Since the driver's license of the individual who usually operates the vehicle that is insured by the policy has had license suspended temporarily, the driver's license of the individual who usually operates the vehicle that is insured by the policy is not considered a covered person under the medical payment coverage."
63,C,**OPTION: C** **REASON:** Rate-making is the process whereby an insurer determine appropriate changes for its policies by setting rates and premiums.
64,D,**OPTION: D** **REASON:** Outdoor swimming pools are not typically covered by a miscellaneous type of vehicle endorsement.
65,A,"An applicant for a fire and causualty license, life agent license, or personal lines agent license must complete a 15 hour seminar on insurance products in addition to pre-classroom study."
66,A,"The limit of liability in a personal auto policy proving coverage for ""damage to your automobile"" is stated as ""the lesser of the amount necessary to replace or repair the damaged property (vehicle) or the actual cash value of the damaged or stolen property""."
67,A,"**OPTION: A** **REASON:** The miscellaneous type vehicle endorsement provides limited coverage for repairs and maintenance of the vehicle, but it does not provide comprehensive coverage for personal auto policies."
68,B,"An inactive license restricts the agent from transacting any insurance business for valid, active licenses."
69,A,** Insurable interest is the legal right to recover the cost of a loss from an insurer. The owner's interest in the property is considered insurable if the insurer is unable to pay the loss.
70,C,"The wording ""the personal auto policy is excess"" is not a condition related to the plumbing system leakage, which is the correct answer."
71,A,Subrogation refers to the transfer of risk from an insurer to a reinsurer. A pure risk consists of coverage for any liability claims that are the result of the insurer's negligence.
72,A,"The homeowners policy covers the expense of repairing or replacing personal property that is damaged or destroyed outside the premises, while the policy does not limit the coverage to that of coverage personal property on the premises."
73,D,Perjury is a crime that is committed when a person knowingly and intentionally gives false information to a law enforcement officer or other person in a position of authority.
74,C,"It must be the result of a peril that is insured under the policy, otherwise there will be no coverage."
75,C,**OPTION: C** **REASON:** An insured's duties after a loss are described in the homeowner's section 1 conditions.
76,D,"The insurer may be fined as much as 000 in lost wages, $45,000 for physically visits and hospital cost and $15,000 for physical therapy treatments and later finds out that the claim was faudlent, the insured may be fined as much as 000 in lost wages, $45,000 for physically visits and hospital cost and $15,000 for physical therapy treatments."
77,A,"**OPTION: A** **REASON:** A deductible of $100 means the insured will only be responsible for the first $100 of the loss. A deductible of $1000 would mean the insured would be responsible for the entire loss, regardless of the amount."
78,A,"Under a yacht policy, protection and indemnity provides coverage for the vessel itself, not for the owner or passengers."
79,A,"**OPTION: A** **REASON:** Umbrella polices provide coverage for the property itself, not for the company or any other third party."
80,A,"Vancouver is located in British Columbia, Canada, which is not within the policy territory limits of PAP issued by an insurer in the state of California."
81,A,"**OPTION: A** **REASON:** An agent's permanent license becomes inactive when their appointment is terminated, and the agent has no other appointment with any other insurance company."
82,A,An employee accidently getting injured at a customer's home while working at the property would be considered a HO6 insurance claim.
83,C,"**OPTION: C** **REASON:** A commercial package policy typically includes a common policy declaration and conditions, which are general terms and exclusions applicable to all insureds."
84,D,The additional cost necessary to make a restroom ADA compliant is not found in standard commercial policy.
85,A,"** A representative of the consumer negotiates and binds ceding reinsurance on behalf of an insurer, acting as the insurer's agent in the reinsurance transaction."
86,A,"**OPTION: A** **REASON:** An HO3 is a broader coverage that includes perils not typically covered by an HO5, such as business interruption losses and loss of income."
87,A,"**OPTION: A** **REASON:** Retention of loss by the insured is not a benefit of insurance, while the other options are all."
88,A,"The limits of medical expense coverage are broader than those for property damage, encompassing not only watercraft but also medical expenses incurred by employees."
89,D,**OPTION: D** **REASON:** The named insured's spouse is not an insured under section 1 of a homeowners policy.
90,A,**OPTION: A** **REASON:** Momentum is not a representation of the future but a property of an object's motion.
91,C,"**OPTION: C** **REASON:** An HO3 policy provides broader coverage than a dwelling policy. An HO3 policy covers perils that occur outside the dwelling, such as theft or vandalism, while a dwelling policy only covers losses to the dwelling itself."
92,D,"The minimum coverage requirement for partial loss to both structures is $80,000 on the dwelling and $16,000 on the garage, which is the lower of the two values."
93,D,"**OPTION: D** **REASON:** A boat owner's policy typically provides coverage for perils such as hull damage, liability, and comprehensive insurance."
