run,file,judge_model,n_scored,accuracy,avg_alignment_score,pct_score_0,pct_score_1,pct_score_2,pct_score_3
gemma2_9b_reasoned,results/from_youtube_video/option/gemma2_9b_reasoned.csv,gpt-4.1-mini,148,0.8514,2.6959,0.0135,0.1081,0.0473,0.8311
gemma_2b_reasoned,results/from_youtube_video/option/gemma_2b_reasoned.csv,gpt-4.1-mini,148,0.4392,1.6351,0.1486,0.3649,0.1892,0.2973
gpt-3_5-turbo_reasoned_from_youtube_video,results/from_youtube_video/option/gpt-3_5-turbo_reasoned_from_youtube_video.csv,gpt-4.1-mini,148,0.8851,2.7027,0.027,0.0946,0.027,0.8514
gpt-4_1-mini_reasoned_from_youtube_video,results/from_youtube_video/option/gpt-4_1-mini_reasoned_from_youtube_video.csv,gpt-4.1-mini,148,0.9054,2.8581,0.0068,0.0405,0.0405,0.9122
gpt-4_1-nano_reasoned_from_youtube_video,results/from_youtube_video/option/gpt-4_1-nano_reasoned_from_youtube_video.csv,gpt-4.1-mini,148,0.8581,2.7297,0.0068,0.1081,0.0338,0.8514
gpt-4o-mini_reasoned_from_youtube_video,results/from_youtube_video/option/gpt-4o-mini_reasoned_from_youtube_video.csv,gpt-4.1-mini,148,0.8784,2.7838,0.0068,0.0811,0.0338,0.8784
gpt-4o_reasoned_from_youtube_video,results/from_youtube_video/option/gpt-4o_reasoned_from_youtube_video.csv,gpt-4.1-mini,148,0.9122,2.8716,0.0135,0.0338,0.0203,0.9324
llama3.1_8b_reasoned,results/from_youtube_video/option/llama3.1_8b_reasoned.csv,gpt-4.1-mini,148,0.7703,2.5,0.0203,0.2027,0.0338,0.7432
mistral_7b_reasoned,results/from_youtube_video/option/mistral_7b_reasoned.csv,gpt-4.1-mini,148,0.6824,2.4595,0.0203,0.1824,0.1149,0.6824
phi3_mini_reasoned,results/from_youtube_video/option/phi3_mini_reasoned.csv,gpt-4.1-mini,148,0.6689,2.2635,0.027,0.2432,0.1689,0.5608
qwen2.5_7b_reasoned,results/from_youtube_video/option/qwen2.5_7b_reasoned.csv,gpt-4.1-mini,148,0.7838,2.5541,0.0203,0.1486,0.0878,0.7432
tinyllama_reasoned,results/from_youtube_video/option/tinyllama_reasoned.csv,gpt-4.1-mini,148,0.2432,0.7838,0.3784,0.5,0.0811,0.0405
