question_number,question,option_A,option_B,option_C,option_D,answer,explanation
1,Which of the following statements about personal liability coverage (Coverage E) of an unendorsed HO-3 homeowners policy is true?,Coverage is written on an accident basis.,Coverage is provided for bodily injury liability.,Coverage is provided for business and professional liability.,Coverage is provided for personal injury liability.,B,"Coverage is provided for bodily injury liability. In addition, coverage is written to cover the negligence of the insured. Business and professional liability and personal injury are excluded."
2,The term for an insurance company that is not backed by a state government is called:,Alien company,An admitted company,A non-admitted company,Bailee,C,"A non-admitted insurer is an insurance company not authorized by a state government to do business in that state. As such, the company does not have to follow any state regulations. A couple of drawbacks to a non-admitted insurance company are claims are not guaranteed to be paid if the insurer becomes insolvent and insureds can't appeal a case to the state insurance department. An alien insurance company is located in a different country than where they provide coverage. An admitted company is authorized by a state government, and a bailee takes possession of goods but doesn't own them."
3,"A condominium owner installed wall-to-wall carpeting over the hardwood floors in their unit. If there was a total loss, the carpeting would be covered as:",Improvements and betterments,Personal property,Common property,Supplementary payments,A,"Improvements and betterments are fixtures, additions, alterations, and installations that a homeowner or tenant makes to a part of the building. Examples of improvements and betterments are permanently installed bookcases, cabinets, countertops, partitions, etc. Personal property is property that belongs to the property owner, and common property refers to property owned by a group of individuals such as lobbies and hallways in a condominium unit. Supplementary payments refers to special payments an insurance company makes to an insured such as legal and defense costs."
4,A home buyer learns they need to get insurance on the home they are buying before the closing. They apply for a policy and learn that the policy may not issue until a week or so after the closing. What document would the insurance agent give the customer to show proof of homeowner insurance on the date of the closing?,Declarations,Binder,Good faith,Coinsurance,B,"A binder is a legal contract that shows the insurance company agrees to provide coverage until the actual policy has gone through underwriting and is approved for issuance. Coverage under a binder usually lasts between 30-90 days. The declarations page includes essential information about the policy such as the insured, coverage, and coverage effective dates. Good faith refers to the concept of an insurance company acting honestly and reasonably when processing claims. Coinsurance refers to cost-sharing where an insured must pay a portion of a covered expense."
5,An applicant for a DP-3 landlord policy told the insurance agent their rental property was rented on a long-term lease. An insurance investigation showed that the property had been vacant for a year. What is the insurance term for the insured's actions?,Endorsement,Subrogation,Indemnification,Representation,D,Representation is what the insured states on an insurance application. The failure to properly represent the facts could cause a claim to be denied or could lead to fraud charges. An endorsement is a rider to a policy that adds a benefit or changes coverage. Subrogation refers to the ability of an insurance company to go after a third party that caused a loss to recoup costs they paid to an insured. Indemnification refers to an insurance company compensating an insured after a loss.
6,A homeowner wanted insurance to cover a potential water backup in their basement. What would they need to do to get this type of coverage?,Nothing. Water backup is never covered under homeowner policies,Nothing. Water backup is automatically covered under all HO policies,Add an endorsement to cover water backup,Purchase a flood insurance policy,C,"He would have to add an endorsement to cover water backup. Water backup is excluded from most homeowner policies, but it can usually be added by endorsement for an additional premium. A flood insurance policy wouldn't cover this type of loss as it only covers damage due to surface water."
7,"___________ refers to what had the most significant impact in causing the loss, when two or more perils, independently, bring about the loss at the same time. It also considers whether the insured peril caused it.",Legal liability,Proximate cause,Time element loss,Personal loss,B,Proximate cause. Legal liability has to do with negligent damages to another party. Time element loss is a type of business income loss. Personal loss is a general term that is not applicable.
8,Covered costs under a liability policy aside from the costs paid for any injuries or damages are:,Ancillary costs,Supplemental costs,Consequential costs,Aleatory costs,B,"Supplemental costs are paid to the insured in addition to the policy's liability limits. Examples include: paying for an attorney and lost earnings for appearing in court. The other options A, C, and D are terms not associated with liability policies."
9,"Michelle, who lives in a subdivision with a Homeowners' Association, had a large living oak tree blow down in a windstorm and damage her neighbor's Porsche. She has an unendorsed Special Form HO-3 homeowners' policy and a $1 million-dollar personal umbrella policy. Under which policy can the neighbor expect to find coverage for his loss?",Michelle's homeowner's policy,Michelle's umbrella policy,The neighbor's personal auto policy,The Homeowners' Association commercial general liability,B,"policy. Michelle is not legally liable for damage caused by a windstorm to a living, healthy tree. The neighbor would need to seek relief under the ""other than collision"" section of his personal auto policy."
10,Something that might increase the likelihood that a loss will occur is called a:,Catastrophe,Risk,Hazard,Peril,C,Hazard. A catastrophe causes sudden damage. A peril is a cause of loss. Risk is the uncertainty arising from the possible occurrence of given events that would result in a loss with no opportunity for gain.
11,A device that is used to minimize small claims and lower premiums is called a(n):,Transfer of risk,Deductible,Coinsurance,Arbitration,B,"Deductible. Transfer of risk is transferring the risk to another party, such as an insurance company. Coinsurance requires you to carry coverage for a certain percentage of your property's value. Arbitration is when an independent third party settles a claim dispute."
