model,bucket,bucket_name,n,correct,accuracy
gemma2_9b_reasoned,1,Basic concepts,50,39,0.78
gemma2_9b_reasoned,2,Contract law,25,13,0.52
gemma2_9b_reasoned,3,CA laws & ethics,86,51,0.59302
gemma2_9b_reasoned,4,Tort & property fundamentals,24,14,0.58333
gemma2_9b_reasoned,5,Residential property,166,115,0.69277
gemma2_9b_reasoned,6,Valuation & government programs,20,15,0.75
gemma2_9b_reasoned,7,Personal liability & inland marine,72,47,0.65278
gemma2_9b_reasoned,8,Commercial insurance,107,69,0.64486
gemma_2b_reasoned,1,Basic concepts,50,16,0.32
gemma_2b_reasoned,2,Contract law,25,15,0.6
gemma_2b_reasoned,3,CA laws & ethics,86,34,0.39535
gemma_2b_reasoned,4,Tort & property fundamentals,24,9,0.375
gemma_2b_reasoned,5,Residential property,166,75,0.45181
gemma_2b_reasoned,6,Valuation & government programs,20,8,0.4
gemma_2b_reasoned,7,Personal liability & inland marine,72,30,0.41667
gemma_2b_reasoned,8,Commercial insurance,107,47,0.43925
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,1,Basic concepts,50,36,0.72
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,2,Contract law,25,16,0.64
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,3,CA laws & ethics,86,52,0.60465
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,4,Tort & property fundamentals,24,17,0.70833
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,5,Residential property,166,107,0.64458
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,6,Valuation & government programs,20,14,0.7
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,7,Personal liability & inland marine,72,45,0.625
gpt-3_5-turbo_reasoned_from_quizlet_pdfs,8,Commercial insurance,107,69,0.64486
gpt-4_1-mini_reasoned_from_quizlet_pdfs,1,Basic concepts,50,37,0.74
gpt-4_1-mini_reasoned_from_quizlet_pdfs,2,Contract law,25,18,0.72
gpt-4_1-mini_reasoned_from_quizlet_pdfs,3,CA laws & ethics,86,52,0.60465
gpt-4_1-mini_reasoned_from_quizlet_pdfs,4,Tort & property fundamentals,24,20,0.83333
gpt-4_1-mini_reasoned_from_quizlet_pdfs,5,Residential property,166,120,0.72289
gpt-4_1-mini_reasoned_from_quizlet_pdfs,6,Valuation & government programs,20,16,0.8
gpt-4_1-mini_reasoned_from_quizlet_pdfs,7,Personal liability & inland marine,72,44,0.61111
gpt-4_1-mini_reasoned_from_quizlet_pdfs,8,Commercial insurance,107,71,0.66355
gpt-4_1-nano_reasoned_from_quizlet_pdfs,1,Basic concepts,50,38,0.76
gpt-4_1-nano_reasoned_from_quizlet_pdfs,2,Contract law,25,15,0.6
