model,bucket,bucket_name,n,correct,accuracy
gemma2_9b_reasoned,1,Basic concepts,50,47,0.94
gemma2_9b_reasoned,2,Contract law,50,46,0.92
gemma2_9b_reasoned,3,CA laws & ethics,50,47,0.94
gemma2_9b_reasoned,4,Tort & property fundamentals,50,46,0.92
gemma2_9b_reasoned,5,Residential property,50,47,0.94
gemma2_9b_reasoned,6,Valuation & government programs,50,47,0.94
gemma2_9b_reasoned,7,Personal liability & inland marine,50,50,1.0
gemma2_9b_reasoned,8,Commercial insurance,50,49,0.98
gemma_2b_reasoned,1,Basic concepts,50,22,0.44
gemma_2b_reasoned,2,Contract law,50,28,0.56
gemma_2b_reasoned,3,CA laws & ethics,50,29,0.58
gemma_2b_reasoned,4,Tort & property fundamentals,50,17,0.34
gemma_2b_reasoned,5,Residential property,50,22,0.44
gemma_2b_reasoned,6,Valuation & government programs,50,26,0.52
gemma_2b_reasoned,7,Personal liability & inland marine,50,20,0.4
gemma_2b_reasoned,8,Commercial insurance,50,32,0.64
gpt-3_5-turbo_reasoned_synthetic_data,1,Basic concepts,50,46,0.92
gpt-3_5-turbo_reasoned_synthetic_data,2,Contract law,50,47,0.94
gpt-3_5-turbo_reasoned_synthetic_data,3,CA laws & ethics,50,49,0.98
gpt-3_5-turbo_reasoned_synthetic_data,4,Tort & property fundamentals,50,45,0.9
gpt-3_5-turbo_reasoned_synthetic_data,5,Residential property,50,47,0.94
gpt-3_5-turbo_reasoned_synthetic_data,6,Valuation & government programs,50,47,0.94
gpt-3_5-turbo_reasoned_synthetic_data,7,Personal liability & inland marine,50,50,1.0
gpt-3_5-turbo_reasoned_synthetic_data,8,Commercial insurance,50,49,0.98
gpt-4_1-mini_reasoned_synthetic_data,1,Basic concepts,50,49,0.98
gpt-4_1-mini_reasoned_synthetic_data,2,Contract law,50,50,1.0
gpt-4_1-mini_reasoned_synthetic_data,3,CA laws & ethics,50,49,0.98
gpt-4_1-mini_reasoned_synthetic_data,4,Tort & property fundamentals,50,48,0.96
gpt-4_1-mini_reasoned_synthetic_data,5,Residential property,50,50,1.0
gpt-4_1-mini_reasoned_synthetic_data,6,Valuation & government programs,50,48,0.96
