question_number,option,reason
1,B,"The primary purpose of insurance is to transfer the financial consequences of certain risks from individuals or businesses to an insurer. This allows the insured to manage potential losses by paying a premium in exchange for financial protection. Option A is incorrect because insurance does not eliminate risks, it only manages their financial impact. Option C is wrong as insurance does not guarantee profit for policyholders, and option D is incorrect because insurance does not prevent losses from occurring, it only mitigates their financial effects."
2,C,"Pure risk refers to situations where there is only the possibility of loss or no loss, with no opportunity for gain. Option C, the possibility your home may be damaged by fire, is a classic example of pure risk because the outcome is either a loss (damage) or no loss (no fire). In contrast, options A, B, and D involve speculative risks where there is a chance of either loss or gain. Investing in the stock market, starting a new business, and gambling all have potential positive outcomes, so they are not pure risks."
3,B,"The law of large numbers is fundamental to insurance because it allows insurers to predict losses more accurately as the number of exposures increases. This statistical principle states that as the sample size grows, the actual results will more closely approximate the expected results. This helps insurers set premiums and reserves with greater confidence. Options A, C, and D are incorrect because the law does not ensure every policyholder will have a loss, prevent catastrophic losses, or guarantee affordable premiums."
4,B,"For a risk to be insurable, it generally must not be catastrophic in nature, meaning it should not cause losses to a large number of insureds simultaneously. This is because catastrophic risks can overwhelm an insurer's ability to pay claims. Options A, C, and D are all standard requirements for insurability: losses must be accidental and uncertain, measurable and calculable, and there must be a large number of similar exposure units to allow for risk pooling. Therefore, option B is NOT a requirement and is the correct choice here."
5,C,"A hazard is best defined as a condition that increases the likelihood or severity of a loss. It is not the cause of loss itself, but rather a factor that makes a loss more probable or more severe if it occurs. Option A, 'the chance of loss,' refers more to risk or probability, not the hazard itself. Option D, 'a type of insurance policy,' is unrelated to the definition of a hazard. Therefore, option C most accurately captures the meaning of a hazard in risk management and insurance contexts."
6,A,"Option A is the best example of a moral hazard because it involves a change in behavior due to the presence of insurance coverage. Moral hazard occurs when a person takes more risks because they do not bear the full consequences of their actions, often due to being insured. Leaving a car unlocked because of insurance coverage exemplifies this, as the individual is less cautious knowing that losses may be covered. Option B describes insurance fraud, which is illegal and intentional deception, not a moral hazard. Options C and D describe risk factors but do not involve behavioral changes due to insurance or protection."
7,B,"The principle of indemnity in insurance means that the insured should be restored to approximately the same financial position as before the loss, without gaining or losing money from the claim. Option B directly reflects this concept by stating that the insured is restored to their prior financial state. Option A contradicts this principle because receiving more than the value of the loss would result in a profit, which indemnity prevents. Options C and D do not accurately represent indemnity: C describes a fixed payment regardless of loss, which may not restore the insured properly, and D explicitly states the insured can profit, which violates the principle."
8,C,"Risk transfer is a method of managing risk by shifting the potential financial consequences or responsibility of a risk to another party, often through contracts such as insurance policies or outsourcing agreements. Retention involves accepting the risk and dealing with its consequences internally, which does not shift the risk. Avoidance means eliminating the risk entirely by not engaging in the activity that generates it, rather than transferring it. Reduction focuses on minimizing the likelihood or impact of the risk but still retains the risk within the organization. Therefore, transfer is the only option that explicitly involves shifting risk to another party."
9,B,"Insurable interest in property insurance must exist at the time of loss to ensure that the insured has a legitimate financial stake in the property when the damage or loss occurs. This requirement prevents insurance from becoming a wagering contract and ensures that the insured suffers a genuine loss. While having insurable interest at the time of application is important, the critical point is at the time of loss because that is when the claim is made. Therefore, option B is the best choice as it correctly identifies the essential timing for insurable interest."
10,C,"In insurance terminology, a peril is defined as the actual cause of a loss, such as fire, theft, or natural disasters. Option C correctly identifies this by stating that a peril is the cause of a loss. Option A describes a contract, which is not a peril but rather the agreement between parties. Option B refers to a condition that increases the chance of loss, which is known as a hazard, not a peril. Option D describes the uncertainty of loss, which is the concept of risk, not a peril. Therefore, option C best captures the meaning of peril in insurance."
11,C,"Installing a home security system to reduce the likelihood of burglary is an example of risk control. Risk control involves taking measures to reduce the frequency or severity of a loss, which aligns with installing security to prevent or deter burglary. Risk avoidance would mean completely eliminating the risk, such as not owning a home or not having valuables. Risk retention involves accepting the risk and its consequences, while risk transfer involves shifting the risk to another party, such as through insurance. Therefore, risk control is the best fit for this action."
12,A,"The concept of insurable interest means that a person must have a financial stake in the property or life insured to purchase insurance on it. In this case, the person has an insurable interest in their own home because they would suffer a financial loss if it were damaged or destroyed. However, they do not have an insurable interest in their neighbor's home, so they cannot purchase insurance for it. This concept prevents people from taking out insurance policies on properties or lives in which they have no legitimate financial interest, thereby reducing moral hazard and potential fraud."
13,B,"Speculative risk involves the possibility of either a loss or a gain, meaning the outcome can be positive or negative. An investor buying stocks hoping for a profit is engaging in speculative risk because the investment could result in a gain or a loss. In contrast, pure risks involve only the possibility of loss or no loss, with no potential for gain. Options A, C, and D describe situations where the risk is purely about loss (fire damage, accident, theft), making them pure risks rather than speculative risks."
14,C,"A unilateral contract is one in which only one party, typically the insurer, is legally bound to perform its obligations, such as paying claims, while the other party, the insured, is not legally obligated to continue paying premiums. This contrasts with a bilateral contract, where both parties have mutual obligations. A contract of adhesion refers to a contract drafted by one party with little negotiation, and a conditional contract requires certain conditions to be met before performance is required. Therefore, the best description for a contract where only the insurer is bound to perform is a unilateral contract."
15,A,"Option A, leaving oily rags near a furnace, best demonstrates a physical hazard because it involves a tangible condition or situation that can cause physical harm or damage, such as a fire. Physical hazards are environmental factors that can lead to injury or loss, and oily rags near a heat source present a clear risk of combustion. Option B describes intentional arson, which is a moral hazard rather than a physical hazard. Options C and D involve behavioral or moral risks related to insurance claims, not physical conditions that pose direct danger."
16,B,"Insurance companies require a large number of similar exposure units to make losses more predictable through statistical analysis. By pooling many similar risks, insurers can apply the law of large numbers, which helps them estimate the expected loss more accurately and set appropriate premiums. This predictability reduces uncertainty and allows insurers to manage risk effectively. Options A, C, and D are incorrect because insurance deals with pure risks, not speculative risks, aims to minimize catastrophic losses rather than increase them, and underwriting is still necessary regardless of the number of exposure units."
17,A,"The principle of utmost good faith in insurance contracts requires that both parties, the insurer and the insured, act honestly and disclose all relevant facts. This principle ensures transparency and fairness, allowing the insurer to accurately assess risk and the insured to receive appropriate coverage. Option B is incorrect because the insurer is not obligated to pay all claims regardless of circumstances; claims must be valid and within the policy terms. Option C is wrong as the insured cannot unilaterally change contract terms, and option D is incorrect because the duty of good faith applies to both parties, not just the insurer."
18,B,"Risk retention occurs when an individual or entity decides to accept the potential loss from a risk rather than transferring it to another party or avoiding it altogether. In this case, the person chooses not to purchase earthquake insurance, meaning they are retaining the risk of loss themselves. Risk avoidance would involve taking steps to eliminate the risk entirely, such as moving to a location where earthquakes do not occur. Risk transfer involves shifting the risk to another party, typically through insurance, and risk reduction involves taking measures to lessen the severity or likelihood of the risk, neither of which applies here."
19,B,"For a contract to be legally valid in insurance, one essential requirement is that it must have competent parties. This means that the parties involved must have the legal capacity to enter into a contract, such as being of legal age and mentally sound. While contracts in insurance are often in writing, it is not an absolute requirement for validity, making option A less accurate. Options C and D are incorrect because witnessing by a notary is not a general legal requirement for insurance contracts, and insurance contracts must be for insurable risks, not speculative risks."
20,B,"The scenario describes a situation where the outcomes for the policyholders differ significantly despite similar premium payments, which is characteristic of an aleatory contract. An aleatory contract involves an exchange of unequal values or outcomes, dependent on uncertain future events, such as filing a claim or not. The policyholder who files a large claim receives a benefit disproportionate to the premiums paid, while the other who never files a claim receives no direct financial return. This uncertainty and imbalance in exchange is the essence of an aleatory contract, making option B the best choice."
21,A,"Insurance is considered a contract of adhesion because the insurer drafts the policy terms, and the insured must accept them as written without negotiation. This means the insured has little to no ability to alter the terms and must adhere to the contract as presented. Option B is incorrect because it suggests equal negotiation, which is not typical in insurance contracts. Option C is wrong since the insured cannot change policy wording after purchase, and option D is irrelevant to the concept of adhesion contracts."
22,C,"Installing a sprinkler system to limit fire damage is an example of risk reduction because it involves taking proactive measures to lessen the severity or likelihood of a loss. Risk avoidance would mean completely eliminating the risk, such as not having any flammable materials or not operating a business that could catch fire. Risk retention means accepting the risk and its potential losses without taking action to mitigate it. Risk transfer involves shifting the risk to another party, such as through insurance. Therefore, the sprinkler system is a control measure that reduces the potential impact of fire, fitting the definition of risk reduction."
23,A,"A morale hazard refers to a situation where an individual's behavior changes because they are insured, often leading to increased risk or carelessness. Option A, leaving a car unlocked because it is insured, exemplifies this because the owner may be less cautious knowing the insurance will cover theft or damage. Option B describes fraud or intentional loss, which is a moral hazard but more specifically deliberate wrongdoing rather than a change in attitude or carelessness. Options C and D describe physical hazards, which are environmental conditions that increase risk but are unrelated to the insured's behavior. Therefore, A best demonstrates a morale hazard."
24,B,"In property insurance, it is crucial that a loss be accidental and unexpected to prevent insuring events that are certain to occur. Insurance is designed to protect against unforeseen risks, not guaranteed losses. If losses were predictable and certain, insurers would face inevitable payouts, making the business unsustainable. Therefore, ensuring losses are accidental helps maintain the principle of risk transfer and keeps the insurance system viable."
