question_number,answer,reason
1,B,"Insurance primarily functions to shift the financial burden of specific risks from the individual or business to the insurer, providing a safety net rather than eliminating all risks or preventing them entirely."
2,C,"Pure risks are those that have only two possible outcomes: loss or no loss. Option C describes a situation where there is a risk of damage (loss) to one's home, which fits this definition. The other options involve potential gains or losses through human action or decision-making, making them speculative rather than pure risks."
3,B,"The law of large numbers allows insurers to pool risks and make more accurate predictions about losses, which is fundamental for setting premiums and managing risk effectively."
4,B,"Insurable risks typically require that losses are accidental, uncertain, and measurable. Catastrophic events, while they can be insurable, do not need to affect a large number of insureds simultaneously to be insurable; individual or specific incidents can also be covered under appropriate policies."
5,C,"A hazard specifically refers to conditions that increase the probability or severity of a loss, which aligns directly with option C. Options A and B are related but too broad, and D is unrelated to the definition of a hazard in insurance terms."
6,B,"Moral hazard occurs when one party engages in risky behavior because they are insulated from the consequences by another party, such as an insurer. Intentionally setting fire to property is a clear example of this, as the insured party benefits financially regardless of their actions."
7,B,"The principle of indemnity aims to restore the insured to the position they were in before the loss, not to profit or overcompensate. Option B aligns with this goal by ensuring a fair restoration."
8,C,"Transfer involves shifting the risk to another party, such as through insurance contracts."
9,C,"Insurable interest must be present both when the policy is applied for to ensure the validity of the contract, and also at the time of loss to validate the claim."
10,C,"In insurance, a peril specifically refers to the cause of a loss, such as fire or theft, which directly leads to potential damage or financial loss covered by the policy."
11,C,"Installing a home security system is a proactive measure to mitigate the risk of burglary, which falls under risk control techniques aimed at modifying the risk exposure."
12,A,"The purchase of insurance only for one's own home, rather than a neighbor’s, demonstrates the insured party's financial stake or insurable interest in their property. Utmost good faith relates to disclosure and honesty, adhesion pertains to standard form contracts, and aleatory contract refers to contingent agreements with uncertain outcomes; none directly explain the specific behavior described."
13,B,"Speculative risks involve the potential for gain or loss, which is characteristic of investing in stocks. Pure risks, on the other hand, only have the potential for loss (e.g., fire damage, accidents, theft)."
14,C,"In a unilateral contract, only one party (the insurer) has an obligation, which fits the description where the insured is not obligated to continue paying premiums."
15,A,"Leaving oily rags near a furnace poses an immediate and tangible risk of fire, which is a physical hazard. The other options involve actions that are either not directly hazardous (having insurance), fraudulent (filing a false claim), or intentional destruction (setting fire)."
16,B,"Insurance companies use a large number of similar exposure units to apply statistical methods effectively, making it possible to predict and manage potential losses more accurately."
17,A,"Utmost good faith, also known as utmost honesty, requires both parties to disclose relevant information truthfully, which aligns with option A. Options B, C, and D do not accurately represent this principle."
18,B,"The individual is retaining the risk by choosing not to buy insurance, thus accepting potential losses, which aligns with the definition of risk retention."
19,A,"In insurance law, contracts are generally required to be in writing to meet the statute of frauds, which ensures that important agreements are documented and enforceable."
20,B,"An aleatory contract is one where the performance by one party depends on an uncertain event, which fits the scenario where a large claim is filed shortly after purchasing a policy."
