question_number,bucket,bucket_name,model,notes
1,7,Personal liability & inland marine,gpt-4.1,
2,7,Personal liability & inland marine,gpt-4.1,
3,5,Residential property,gpt-4.1,
4,4,Tort & property fundamentals,gpt-4.1,
5,7,Personal liability & inland marine,gpt-4.1,
6,5,Residential property,gpt-4.1,
7,8,Commercial insurance,gpt-4.1,
8,8,Commercial insurance,gpt-4.1,
9,3,CA laws & ethics,gpt-4.1,
10,5,Residential property,gpt-4.1,
11,2,Contract law,gpt-4.1,
12,8,Commercial insurance,gpt-4.1,
13,1,Basic concepts,gpt-4.1,
14,4,Tort & property fundamentals,gpt-4.1,
15,6,Valuation & government programs,gpt-4.1,
16,3,CA laws & ethics,gpt-4.1,
17,3,CA laws & ethics,gpt-4.1,
18,5,Residential property,gpt-4.1,
19,5,Residential property,gpt-4.1,
20,7,Personal liability & inland marine,gpt-4.1,
21,8,Commercial insurance,gpt-4.1,
22,5,Residential property,gpt-4.1,
23,5,Residential property,gpt-4.1,
24,5,Residential property,gpt-4.1,
25,6,Valuation & government programs,gpt-4.1,
26,7,Personal liability & inland marine,gpt-4.1,
27,1,Basic concepts,gpt-4.1,
28,1,Basic concepts,gpt-4.1,
29,8,Commercial insurance,gpt-4.1,
30,4,Tort & property fundamentals,gpt-4.1,
31,3,CA laws & ethics,gpt-4.1,
32,8,Commercial insurance,gpt-4.1,
33,5,Residential property,gpt-4.1,
34,3,CA laws & ethics,gpt-4.1,
35,3,CA laws & ethics,gpt-4.1,
36,8,Commercial insurance,gpt-4.1,
37,5,Residential property,gpt-4.1,
38,3,CA laws & ethics,gpt-4.1,
39,5,Residential property,gpt-4.1,
40,1,Basic concepts,gpt-4.1,
41,7,Personal liability & inland marine,gpt-4.1,
42,8,Commercial insurance,gpt-4.1,
43,5,Residential property,gpt-4.1,
44,8,Commercial insurance,gpt-4.1,
45,5,Residential property,gpt-4.1,
46,5,Residential property,gpt-4.1,
47,5,Residential property,gpt-4.1,
48,1,Basic concepts,gpt-4.1,
49,3,CA laws & ethics,gpt-4.1,
50,5,Residential property,gpt-4.1,
51,7,Personal liability & inland marine,gpt-4.1,
52,8,Commercial insurance,gpt-4.1,
53,5,Residential property,gpt-4.1,
54,8,Commercial insurance,gpt-4.1,
