question_number,reason_before_options,option,reason_after_options
1,"The question is asking about an endorsement commonly attached to a homeowners policy when the insured owns valuable personal property that exceeds the policy’s normal sublimits. Standard homeowners policies often limit coverage for items such as jewelry, watches, furs, fine arts, silverware, firearms, or collectibles, especially for theft losses. The key concept is scheduled personal property, sometimes called a personal articles floater, where specific high value items are listed and insured for higher agreed or appraised amounts. When narrowing the answer, look for wording about “scheduled personal property,” “personal property floater,” or specifically listing valuable items by description and value. Avoid choices that merely increase the general personal property limit without specifically covering high value items.",B,A scheduled personal property endorsement is commonly added to a homeowners policy to specifically list and insure high-value items beyond standard policy sublimits.
2,"The stem is asking about the insured’s duties after a liability loss, not whether the restaurant is legally at fault. Under a commercial general liability policy, the insured should give prompt notice to the insurer, report the facts, and forward any demands, suits, or legal papers. He should gather and preserve useful details such as photos, witness names, and an incident report, while cooperating with the insurer’s investigation. He should not admit liability, promise payment, or settle with the injured customer without the insurer’s consent. The best answer will focus on timely notice, documentation, preservation of evidence, and cooperation with the claim process.",C,"Under a CGL policy, Mr. Davis should promptly notify his insurer of the incident so the claim can be investigated and handled properly. He should not settle or wait for a lawsuit before reporting it."
3,"The stem is asking which item is not one of the necessary elements to create a valid insurance contract in California. The core contract elements are competent parties, mutual consent or agreement, a lawful objective, and consideration. In insurance, the applicant’s premium or promise to pay is consideration, and the insurer’s promise to indemnify is the other side of consideration. The contract also generally requires an insurable interest for enforceability, depending on the line of insurance and timing. To narrow the choices, look for something that sounds like a feature of a policy or sales process, such as notarization, countersignature, or being in writing, rather than a true formation element.",D,"A valid California insurance contract requires offer and acceptance, consideration, and generally an insurable interest. Notarization is not a required element for formation."
5,"The question is testing how a replacement cost endorsement affects a partial property loss settlement. Replacement cost coverage is intended to pay the cost to repair or replace the damaged property with like kind and quality, not to create a profit for the insured. Even though the adjuster estimated repairs at $50,000, if Mrs. Martinez can actually have the covered repairs completed properly for $40,000, the insurer would generally base payment on the actual reasonable repair cost, subject to the deductible and policy limits. Many policies also pay only actual cash value at first and then pay any remaining replacement cost amount after repairs are completed. So you would narrow the answer toward the insurer paying the amount necessary or actually incurred to repair the home, rather than automatically paying the higher estimate.",B,"Replacement cost coverage pays the reasonable cost to repair or replace the damaged property, and if the repairs can be completed for $40,000, the insurer will likely base payment on that amount rather than the higher estimate."
6,"The question is testing what underwriters normally evaluate when pricing or accepting a commercial property risk. For commercial property, typical underwriting factors include the building’s construction, occupancy, protection systems, surrounding exposures, location, replacement value, prior loss history, fire protection, and risk management practices. Factors tied to personal characteristics of the owner, such as personal health, unrelated personal credit details, or other non-property-related matters, are generally not central to underwriting the property itself. To narrow the answer, look for the choice that does not relate to the likelihood or severity of property loss. The best answer will be the factor that is outside the normal commercial property risk evaluation.",B,"Commercial property underwriting typically focuses on property-related risk factors like location, construction type, and prior claims, not the business owner's personal credit score."
7,"The stem is incomplete because it does not state what property or risk needs coverage, so the key is to match the insured’s situation to the correct property policy type. For personal owner-occupied residences, homeowners coverage is usually appropriate; for rental or non-owner-occupied residences, a dwelling policy may fit better. For business buildings, contents, or income exposure, commercial property or businessowners coverage may apply. For movable property, goods in transit, or specialized items, inland marine may be the best match, while flood or earthquake usually require separate coverage. To narrow the answer, identify who owns the property, how it is used, where it is located, and whether the exposure is personal, commercial, mobile, or excluded under standard forms.",A,"A homeowners policy is the standard property policy for an owner-occupied personal residence, which is the most typical intended context when no business, rental, or special movable-property exposure is specified."
8,"This asks what a california employer must do after an employee suffers a work-related injury. workers’ compensation is generally the exclusive remedy, so the employer should not ignore the injury or try to handle it informally outside the system. The employer should make sure the employee receives prompt medical attention, give the required state workers’ compensation claim form within one working day, and notify the workers’ compensation insurer or claims administrator. If the injury is serious enough to trigger safety reporting rules, the employer may also need to report it to cal/osha within the required time. Narrow the answer to the choice focused on promptly initiating the workers’ compensation claim process and complying with reporting and medical-care duties.",B,California employers must initiate the workers’ compensation process by reporting the work-related injury to their workers’ compensation insurer/claims administrator rather than handling it informally or shifting costs to the employee.
9,"The question is asking you to identify the section of the policy that summarizes the personalized facts of the contract. In property insurance, the declarations page or declarations section lists the named insured, covered location or property, policy period, limits, premiums, and often deductibles. The insuring agreement states the basic promise to pay, while conditions set duties and exclusions remove coverage, so those are not the best match. When a stem asks where to find who is insured, what property is insured, and how much coverage applies, narrow it to the declarations.",C,"The declarations page lists the named insured, covered property, coverage limits, policy period, and related policy-specific details."
10,"This question is asking you to identify an exposure that is normally excluded or handled by a separate policy rather than by commercial general liability insurance. A CGL policy generally covers third-party bodily injury, property damage, personal injury, advertising injury, and sometimes medical payments arising from the insured’s business operations, premises, or products. It does not typically cover the insured’s own property, employee work injuries, professional errors, auto liability, or intentional acts. In California exam terms, look for the choice that sounds like first-party property coverage, workers’ compensation, professional liability, or business auto exposure. That type of loss would usually require a different policy or endorsement, not standard CGL coverage.",C,Employee injuries are typically excluded under a CGL policy and are handled by workers’ compensation or employers liability coverage.
11,"The question is asking what a California producer should do when a consumer may not fully understand the insurance product being purchased. The key consumer protection rule is that producers must deal honestly and fairly, avoid misrepresentation, and provide clear, accurate explanations of policy terms, benefits, limitations, and costs. Mr Green should not pressure the client or gloss over confusing features just to complete the sale. He should make sure the client understands the product, answer questions, provide required disclosures, and recommend only coverage that is suitable for the client’s needs. The best answer will be the choice focused on full disclosure, clarification, and fair treatment rather than rushing the transaction or making unsupported promises.",B,"California consumer protection and fair practices require the producer to provide clear, honest disclosure of the policy’s terms, benefits, limitations, and exclusions so the client can make an informed decision."
